
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009950                       # Number of seconds simulated (Second)
simTicks                                   9950230500                       # Number of ticks simulated (Tick)
finalTick                                  9950230500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    122.20                       # Real time elapsed on the host (Second)
hostTickRate                                 81425754                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     705564                       # Number of bytes of host memory used (Byte)
simInsts                                     25475897                       # Number of instructions simulated (Count)
simOps                                       38943855                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208477                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     318689                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         19900462                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.781149                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.280166                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        62933278                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      103                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       55988051                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20084                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             23989504                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          37603885                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  61                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            19715940                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.839735                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.501271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5840482     29.62%     29.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1259631      6.39%     36.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2419691     12.27%     48.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2386029     12.10%     60.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2636568     13.37%     73.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1783422      9.05%     82.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1597456      8.10%     90.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1017481      5.16%     96.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    455032      2.31%     98.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                    281370      1.43%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                    38696      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                       64      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                       18      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                12                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              19715940                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  319845     34.20%     34.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     34.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     34.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     34.20% # attempts to use FU when none available (Count)
